Drug Name	National Drug Code (NDC)
Alprazolam	0009-0029
Alprazolam	0009-0055
Alprazolam	0009-0057
Alprazolam	0009-0059
Alprazolam	0009-0066
Alprazolam	0009-0068
Alprazolam	0009-0090
Alprazolam	0009-0094
Alprazolam	0054-3068
Alprazolam	0228-2027
Alprazolam	0228-2029
Alprazolam	0228-2031
Alprazolam	0228-2039
Alprazolam	0228-3083
Alprazolam	0228-3084
Alprazolam	0228-3086
Alprazolam	0228-3087
Alprazolam	0228-4019
Alprazolam	0228-4022
Alprazolam	0228-4024
Alprazolam	0228-4025
Alprazolam	0378-4001
Alprazolam	0378-4003
Alprazolam	0378-4005
Alprazolam	0378-4007
Alprazolam	0615-8215
Alprazolam	0615-8216
Alprazolam	0615-8295
Alprazolam	0781-1061
Alprazolam	0781-1077
Alprazolam	0781-1079
Alprazolam	0781-1089
Alprazolam	0904-5859
Alprazolam	0904-5860
Alprazolam	17856-2027
Alprazolam	17856-2029
Alprazolam	43063-370
Alprazolam	43063-609
Alprazolam	45865-424
Alprazolam	45865-972
Alprazolam	45865-993
Alprazolam	49884-110
Alprazolam	49884-111
Alprazolam	49884-213
Alprazolam	49884-214
Alprazolam	49999-032
Alprazolam	50090-2256
Alprazolam	50090-4950
Alprazolam	50436-4635
Alprazolam	50436-4636
Alprazolam	51655-266
Alprazolam	51991-704
Alprazolam	51991-705
Alprazolam	51991-706
Alprazolam	51991-707
Alprazolam	52959-964
Alprazolam	55154-5885
Alprazolam	55289-523
Alprazolam	55700-312
Alprazolam	55700-313
Alprazolam	55700-622
Alprazolam	55700-671
Alprazolam	59762-0057
Alprazolam	59762-0059
Alprazolam	59762-0066
Alprazolam	59762-0068
Alprazolam	59762-3719
Alprazolam	59762-3720
Alprazolam	59762-3721
Alprazolam	59762-3722
Alprazolam	60429-504
Alprazolam	60687-377
Alprazolam	60687-388
Alprazolam	60687-510
Alprazolam	60687-521
Alprazolam	60760-550
Alprazolam	60760-813
Alprazolam	61919-005
Alprazolam	61919-089
Alprazolam	61919-379
Alprazolam	61919-576
Alprazolam	61919-836
Alprazolam	61919-836
Alprazolam	61919-849
Alprazolam	63187-225
Alprazolam	63187-278
Alprazolam	63187-337
Alprazolam	63187-443
Alprazolam	63187-444
Alprazolam	63187-445
Alprazolam	63187-518
Alprazolam	63187-916
Alprazolam	63187-966
Alprazolam	63187-971
Alprazolam	63629-7726
Alprazolam	63629-8164
Alprazolam	63629-8172
Alprazolam	63629-8214
Alprazolam	64980-396
Alprazolam	64980-397
Alprazolam	64980-398
Alprazolam	64980-399
Alprazolam	65162-809
Alprazolam	65162-810
Alprazolam	65162-812
Alprazolam	65162-813
Alprazolam	65862-454
Alprazolam	65862-455
Alprazolam	65862-456
Alprazolam	65862-457
Alprazolam	65862-676
Alprazolam	65862-677
Alprazolam	65862-678
Alprazolam	65862-679
Alprazolam	66267-564
Alprazolam	66267-760
Alprazolam	66267-760
Alprazolam	67046-959
Alprazolam	67046-969
Alprazolam	67046-970
Alprazolam	67253-900
Alprazolam	67253-901
Alprazolam	67253-902
Alprazolam	67253-903
Alprazolam	67296-0721
Alprazolam	67296-0958
Alprazolam	67296-1303
Alprazolam	67296-1313
Alprazolam	67296-1379
Alprazolam	67296-1748
Alprazolam	67544-006
Alprazolam	67544-007
Alprazolam	67544-124
Alprazolam	67544-347
Alprazolam	67544-414
Alprazolam	67544-415
Alprazolam	68071-2220
Alprazolam	68071-2236
Alprazolam	68071-2292
Alprazolam	68071-4447
Alprazolam	68071-4621
Alprazolam	68071-4652
Alprazolam	68071-4818
Alprazolam	68071-4831
Alprazolam	68071-4855
Alprazolam	68071-4923
Alprazolam	68071-5113
Alprazolam	68071-5128
Alprazolam	68071-5243
Alprazolam	68071-5263
Alprazolam	68788-0575
Alprazolam	68788-2027
Alprazolam	68788-2029
Alprazolam	68788-6358
Alprazolam	68788-6381
Alprazolam	68788-6943
Alprazolam	68788-7577
Alprazolam	68788-7594
Alprazolam	68788-7595
Alprazolam	68788-7596
Alprazolam	68788-7613
Alprazolam	68788-9430
Alprazolam	68788-9682
Alprazolam	68788-9997
Alprazolam	70518-0966
Alprazolam	70518-2785
Alprazolam	70518-2870
Alprazolam	70934-558
Alprazolam	71205-227
Alprazolam	71205-284
Alprazolam	71205-290
Alprazolam	71205-386
Alprazolam	71335-0098
Alprazolam	71335-0252
Alprazolam	71335-0673
Alprazolam	71335-0680
Alprazolam	71335-0761
Alprazolam	71335-0813
Alprazolam	71335-0849
Alprazolam	71335-0920
Alprazolam	71335-0929
Alprazolam	71335-1092
Alprazolam	71335-1129
Alprazolam	71335-1291
Alprazolam	71335-1386
Alprazolam	71335-1477
Alprazolam	71335-1576
Alprazolam	71335-1669
Alprazolam	71610-112
Alprazolam	71610-113
Alprazolam	72189-029
Alprazolam	72189-029
Alprazolam	72189-029
Alprazolam	72189-058
Alprazolam	72189-121
Alprazolam	72789-024
Alprazolam	72789-042
Alprazolam	72789-087
Alprazolam	80425-0099
Alprazolam	80425-0100
Amphetamine	27808-102
Amphetamine	66993-360
Amphetamine	70165-003
Amphetamine	70165-005
Amphetamine	70165-010
Amphetamine	70165-015
Amphetamine	70165-020
Amphetamine	70165-025
Amphetamine	70165-030
Amphetamine	0527-2524
Amphetamine	0527-2525
Amphetamine	13107-259
Amphetamine	13107-260
Amphetamine	24338-022
Amphetamine	24338-026
Amphetamine	24338-031
Amphetamine	24338-033
Amphetamine	24338-035
Amphetamine	24338-037
Amphetamine	43547-457
Amphetamine	43547-458
Amphetamine	43598-897
Amphetamine	43598-898
Amphetamine	50742-651
Amphetamine	50742-652
Amphetamine	52536-057
Amphetamine	52536-059
Amphetamine	63629-1114
Amphetamine	63629-1115
Amphetamine	67877-710
Amphetamine	67877-711
Amphetamine	69238-1563
Amphetamine	69238-1564
Amphetamine	69452-227
Amphetamine	69452-228
Amphetamine	70010-040
Amphetamine	70010-041
Amphetamine	71337-024
Amphetamine	71337-025
Aripiprazole	60505-2677-03
Aripiprazole	13811-0679-30
Aripiprazole	59651-0110-55
Aripiprazole	16714-0784-01
Aripiprazole	13811-0682-30
Aripiprazole	31722-0820-30
Aripiprazole	16729-0278-01
Aripiprazole	43547-0305-03
Aripiprazole	65162-0893-74
Aripiprazole	13811-0684-30
Aripiprazole	16729-0281-01
Aripiprazole	60505-2676-03
Aripiprazole	00904-6510-61
Aripiprazole	27241-0052-03
Aripiprazole	27241-0053-03
Aripiprazole	60429-0447-30
Aripiprazole	62332-0102-30
Aripiprazole	13668-0221-90
Aripiprazole	13811-0681-10
Aripiprazole	00093-7569-56
Aripiprazole	62332-0104-30
Aripiprazole	65162-0896-09
Aripiprazole	00093-7581-56
Aripiprazole	62332-0100-30
Aripiprazole	16714-0783-01
Aripiprazole	43598-0559-30
Aripiprazole	43547-0306-03
Aripiprazole	13668-0218-90
Aripiprazole	43547-0304-03
Aripiprazole	13811-0679-10
Aripiprazole	13668-0220-05
Aripiprazole	13668-0216-30
Aripiprazole	13668-0218-05
Aripiprazole	13811-0684-10
Aripiprazole	16729-0283-10
Aripiprazole	65162-0898-09
Aripiprazole	16729-0282-10
Aripiprazole	60505-2673-03
Aripiprazole	27241-0056-08
Aripiprazole	60429-0448-30
Aripiprazole	27241-0053-08
Aripiprazole	13811-0683-30
Aripiprazole	13811-0682-10
Aripiprazole	65162-0902-09
Aripiprazole	43598-0554-30
Aripiprazole	16729-0280-01
Aripiprazole	65862-0661-30
Aripiprazole	13668-0216-05
Aripiprazole	65862-0663-05
Aripiprazole	65862-0662-05
Aripiprazole	62332-0102-31
Aripiprazole	00904-6656-40
Aripiprazole	13668-0221-30
Aripiprazole	65162-0896-03
Aripiprazole	65162-0901-03
Aripiprazole	13811-0680-30
Aripiprazole	27241-0056-03
Aripiprazole	65862-0665-05
Aripiprazole	65862-0664-05
Aripiprazole	65862-0661-05
Aripiprazole	43547-0307-03
Aripiprazole	13811-0693-30
Aripiprazole	65862-0662-30
Aripiprazole	65162-0897-03
Aripiprazole	65862-0664-30
Aripiprazole	13811-0692-30
Aripiprazole	16729-0281-10
Aripiprazole	16714-0788-01
Aripiprazole	33342-0124-07
Aripiprazole	33342-0122-07
Aripiprazole	62332-0099-31
Aripiprazole	43598-0555-30
Aripiprazole	13668-0216-90
Aripiprazole	13811-0680-10
Aripiprazole	43598-0558-30
Aripiprazole	60687-0157-21
Aripiprazole	13811-0681-30
Aripiprazole	16714-0787-01
Aripiprazole	43598-0733-30
Aripiprazole	27241-0054-03
Aripiprazole	43353-0140-05
Aripiprazole	33342-0126-07
Aripiprazole	65862-0663-30
Aripiprazole	33342-0127-07
Aripiprazole	16729-0278-10
Aripiprazole	31722-0828-30
Aripiprazole	13668-0217-90
Aripiprazole	16714-0785-01
Aripiprazole	60687-0191-21
Aripiprazole	65162-0897-09
Aripiprazole	00093-7580-56
Aripiprazole	13668-0221-05
Aripiprazole	00093-7582-56
Aripiprazole	27241-0051-08
Aripiprazole	65862-0665-30
Aripiprazole	16714-0786-01
Aripiprazole	60505-0404-05
Aripiprazole	27241-0052-08
Aripiprazole	13668-0218-30
Aripiprazole	65162-0901-09
Aripiprazole	65162-0899-03
Aripiprazole	65862-0666-30
Aripiprazole	31722-0819-30
Aripiprazole	16729-0282-01
Aripiprazole	62332-0100-31
Aripiprazole	76282-0045-30
Aripiprazole	60687-0179-01
Aripiprazole	16729-0279-10
Aripiprazole	13668-0219-90
Aripiprazole	65162-0898-03
Aripiprazole	43547-0303-03
Aripiprazole	54838-0570-59
Aripiprazole	33342-0123-07
Aripiprazole	13668-0220-30
Aripiprazole	27241-0055-03
Aripiprazole	62332-0101-30
Aripiprazole	27241-0054-08
Aripiprazole	65162-0899-09
Aripiprazole	13668-0217-05
Aripiprazole	27241-0051-03
Aripiprazole	65162-0902-03
Aripiprazole	60505-2674-03
Aripiprazole	43598-0557-30
Aripiprazole	62332-0101-31
Aripiprazole	62332-0099-30
Aripiprazole	13668-0219-30
Aripiprazole	62332-0097-30
Aripiprazole	76282-0046-30
Aripiprazole	62332-0098-31
Aripiprazole	31722-0829-30
Aripiprazole	62332-0097-31
Aripiprazole	00093-7583-56
Aripiprazole	62332-0098-30
Aripiprazole	13668-0220-90
Aripiprazole	13668-0217-30
Aripiprazole	42291-0134-30
Aripiprazole	31722-0830-30
Aripiprazole	27241-0055-08
Aripiprazole	43547-0302-03
Aripiprazole	16729-0280-10
Aripiprazole	13811-0683-10
Aripiprazole	43598-0556-30
Aripiprazole	00093-7613-56
Aripiprazole	31722-0827-30
Aripiprazole	60505-2675-03
Aripiprazole	16729-0279-01
Aripiprazole	60505-3075-03
Aripiprazole	62332-0103-30
Aripiprazole	13668-0219-05
Aripiprazole	33342-0125-07
Atomoxetine	00093-3543-56
Atomoxetine	64980-0378-03
Atomoxetine	66993-0040-30
Atomoxetine	35573-0416-30
Atomoxetine	64980-0377-03
Atomoxetine	00093-3547-56
Atomoxetine	60505-2835-03
Atomoxetine	64980-0374-03
Atomoxetine	00093-3546-56
Atomoxetine	16714-0759-01
Atomoxetine	68462-0271-30
Atomoxetine	64980-0379-03
Atomoxetine	66993-0042-30
Atomoxetine	66993-0045-30
Atomoxetine	60505-2833-03
Atomoxetine	60505-2834-03
Atomoxetine	55111-0563-30
Atomoxetine	68462-0267-30
Atomoxetine	68462-0266-30
Atomoxetine	64980-0373-03
Atomoxetine	55111-0521-30
Atomoxetine	68462-0268-30
Atomoxetine	60505-2836-03
Atomoxetine	55111-0519-30
Atomoxetine	60505-2830-03
Atomoxetine	60505-2832-03
Atomoxetine	64980-0376-03
Atomoxetine	66993-0041-30
Atomoxetine	35573-0417-30
Atomoxetine	55111-0564-30
Atomoxetine	00093-3545-56
Atomoxetine	55111-0520-30
Atomoxetine	66993-0043-30
Atomoxetine	66993-0044-30
Atomoxetine	35573-0415-30
Atomoxetine	16714-0758-01
Atomoxetine	16714-0761-01
Atomoxetine	64980-0375-03
Atomoxetine	16714-0755-01
Atomoxetine	16714-0757-01
Atomoxetine	16714-0760-01
Atomoxetine	55111-0522-30
Atomoxetine	68462-0270-30
Atomoxetine	00093-3544-56
Atomoxetine	35573-0418-30
Atomoxetine	55111-0528-30
Atomoxetine	16714-0756-01
Atomoxetine	00093-3542-56
Atomoxetine	66993-0046-30
Atomoxetine	35573-0420-30
Atomoxetine	35573-0421-30
Atomoxetine	68462-0269-30
Atomoxetine	68462-0265-30
Atomoxetine	00093-3548-56
Atomoxetine	35573-0419-30
Atomoxetine	60505-2831-03
Bupropion	0187-5810
Bupropion	0187-5811
Bupropion	0187-5812
Bupropion	0115-5445
Bupropion	0115-6811
Bupropion	0173-0135
Bupropion	0173-0722
Bupropion	0173-0947
Bupropion	0185-0410
Bupropion	0185-0415
Bupropion	0185-1111
Bupropion	0187-0730
Bupropion	0187-0731
Bupropion	0378-0433
Bupropion	0378-0435
Bupropion	0591-3331
Bupropion	0591-3540
Bupropion	0591-3541
Bupropion	0591-3542
Bupropion	0591-3543
Bupropion	0615-8179
Bupropion	0615-8241
Bupropion	0615-8261
Bupropion	0615-8262
Bupropion	0615-8296
Bupropion	0781-5528
Bupropion	0781-5529
Bupropion	0904-6573
Bupropion	0904-6585
Bupropion	0904-6635
Bupropion	0904-6636
Bupropion	10135-703
Bupropion	10135-704
Bupropion	10370-101
Bupropion	10370-102
Bupropion	16729-443
Bupropion	16729-444
Bupropion	23155-191
Bupropion	23155-192
Bupropion	24979-101
Bupropion	24979-102
Bupropion	42571-241
Bupropion	42571-242
Bupropion	42806-348
Bupropion	42806-349
Bupropion	43063-284
Bupropion	43063-387
Bupropion	43063-388
Bupropion	43063-744
Bupropion	43063-880
Bupropion	43063-913
Bupropion	43063-994
Bupropion	43353-189
Bupropion	43353-575
Bupropion	43547-288
Bupropion	43547-289
Bupropion	43547-290
Bupropion	43598-536
Bupropion	43598-537
Bupropion	43598-538
Bupropion	43598-655
Bupropion	43598-656
Bupropion	43598-751
Bupropion	43598-752
Bupropion	43598-753
Bupropion	43598-863
Bupropion	45865-632
Bupropion	45865-633
Bupropion	45865-975
Bupropion	45963-142
Bupropion	46708-118
Bupropion	46708-127
Bupropion	47335-736
Bupropion	47335-737
Bupropion	47335-738
Bupropion	47335-954
Bupropion	47781-637
Bupropion	49999-349
Bupropion	50090-0861
Bupropion	50090-1768
Bupropion	50090-1869
Bupropion	50090-3453
Bupropion	50090-3854
Bupropion	50090-4049
Bupropion	50090-4169
Bupropion	50090-4747
Bupropion	50090-4749
Bupropion	50090-5101
Bupropion	50090-5334
Bupropion	50228-144
Bupropion	50228-145
Bupropion	50228-174
Bupropion	50228-175
Bupropion	50228-176
Bupropion	50228-338
Bupropion	50268-140
Bupropion	50268-141
Bupropion	50268-142
Bupropion	50268-143
Bupropion	50436-0289
Bupropion	50436-1570
Bupropion	50436-1580
Bupropion	50436-3541
Bupropion	50436-9101
Bupropion	51079-943
Bupropion	51407-206
Bupropion	51407-207
Bupropion	51655-357
Bupropion	52427-575
Bupropion	55154-4394
Bupropion	55154-7986
Bupropion	55154-8180
Bupropion	55289-733
Bupropion	55700-644
Bupropion	55700-779
Bupropion	55700-820
Bupropion	55700-849
Bupropion	58118-0191
Bupropion	58118-0415
Bupropion	60429-216
Bupropion	60429-217
Bupropion	60429-218
Bupropion	60429-358
Bupropion	60429-746
Bupropion	60429-747
Bupropion	60429-933
Bupropion	60505-0157
Bupropion	60505-0158
Bupropion	60687-312
Bupropion	60687-340
Bupropion	60687-351
Bupropion	60760-407
Bupropion	61919-037
Bupropion	61919-038
Bupropion	61919-063
Bupropion	61919-069
Bupropion	61919-136
Bupropion	61919-589
Bupropion	61919-674
Bupropion	63187-052
Bupropion	63187-124
Bupropion	63187-176
Bupropion	63187-178
Bupropion	63187-416
Bupropion	63187-521
Bupropion	63187-566
Bupropion	63187-713
Bupropion	63187-726
Bupropion	63187-766
Bupropion	63187-819
Bupropion	63187-952
Bupropion	63629-2642
Bupropion	63629-3233
Bupropion	63629-6072
Bupropion	63629-6438
Bupropion	63629-7033
Bupropion	63629-8036
Bupropion	63629-8228
Bupropion	64679-101
Bupropion	64679-102
Bupropion	64679-105
Bupropion	64679-107
Bupropion	64679-830
Bupropion	64980-201
Bupropion	64980-202
Bupropion	65841-780
Bupropion	65841-836
Bupropion	66267-614
Bupropion	66267-700
Bupropion	67046-081
Bupropion	67046-699
Bupropion	67544-299
Bupropion	67544-406
Bupropion	67544-897
Bupropion	68001-264
Bupropion	68001-308
Bupropion	68001-309
Bupropion	68001-321
Bupropion	68001-322
Bupropion	68071-2256
Bupropion	68071-4961
Bupropion	68071-5213
Bupropion	68071-5214
Bupropion	68084-252
Bupropion	68084-697
Bupropion	68084-708
Bupropion	68180-319
Bupropion	68180-320
Bupropion	68382-353
Bupropion	68382-354
Bupropion	68788-6800
Bupropion	68788-6808
Bupropion	68788-7121
Bupropion	68788-7170
Bupropion	68788-7174
Bupropion	68788-7221
Bupropion	68788-7249
Bupropion	68788-7283
Bupropion	68788-7319
Bupropion	68788-7347
Bupropion	68788-7479
Bupropion	68788-7509
Bupropion	68788-7756
Bupropion	68788-7776
Bupropion	68788-7786
Bupropion	68788-7793
Bupropion	68788-7807
Bupropion	68788-7819
Bupropion	68788-7820
Bupropion	69097-875
Bupropion	69097-876
Bupropion	69097-877
Bupropion	69097-878
Bupropion	69097-879
Bupropion	69097-917
Bupropion	69097-918
Bupropion	69844-010
Bupropion	69844-011
Bupropion	70377-034
Bupropion	70377-035
Bupropion	70436-010
Bupropion	70436-011
Bupropion	70436-058
Bupropion	70436-059
Bupropion	70436-060
Bupropion	70518-0349
Bupropion	70518-0414
Bupropion	70518-0859
Bupropion	70518-1229
Bupropion	70518-1468
Bupropion	70518-1566
Bupropion	70518-1584
Bupropion	70518-1711
Bupropion	70518-2022
Bupropion	70518-2051
Bupropion	70518-2297
Bupropion	70518-2332
Bupropion	70518-2365
Bupropion	70518-2427
Bupropion	70518-2458
Bupropion	70518-2463
Bupropion	70518-2634
Bupropion	70518-2637
Bupropion	70518-2641
Bupropion	70518-2648
Bupropion	70518-2772
Bupropion	70934-151
Bupropion	70934-156
Bupropion	70934-172
Bupropion	70934-225
Bupropion	70934-277
Bupropion	70934-489
Bupropion	70934-704
Bupropion	70934-723
Bupropion	70934-724
Bupropion	70934-791
Bupropion	71205-045
Bupropion	71205-076
Bupropion	71205-248
Bupropion	71205-291
Bupropion	71205-387
Bupropion	71205-394
Bupropion	71205-465
Bupropion	71205-504
Bupropion	71205-967
Bupropion	71205-968
Bupropion	71209-052
Bupropion	71209-053
Bupropion	71335-0006
Bupropion	71335-0013
Bupropion	71335-0019
Bupropion	71335-0025
Bupropion	71335-0135
Bupropion	71335-0182
Bupropion	71335-0314
Bupropion	71335-0331
Bupropion	71335-0468
Bupropion	71335-0502
Bupropion	71335-0612
Bupropion	71335-0687
Bupropion	71335-0785
Bupropion	71335-0791
Bupropion	71335-0824
Bupropion	71335-0877
Bupropion	71335-0943
Bupropion	71335-1044
Bupropion	71335-1114
Bupropion	71335-1156
Bupropion	71335-1192
Bupropion	71335-1214
Bupropion	71335-1542
Bupropion	71335-1551
Bupropion	71335-1622
